wdgraph,value
['[1*]C[2*].[3*]C[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],47.8
['[1*]CC([2*])C.[3*]CC([4*])C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],44.47
['[1*]CC([2*])CC.[3*]CC([4*])CC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],34.04
['[1*]CC([2*])CCC.[3*]CC([4*])CCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],20.01
['[1*]CC([2*])CC(C)C.[3*]CC([4*])CC(C)C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],21.64
['[1*]CCCCCCCC([2*])C.[3*]CCCCCCCC([4*])C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],31.47
['[1*]CC([2*])CCCCCC.[3*]CC([4*])CCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],75.06
['[1*]C=CCCC[2*].[3*]C=CCCC[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],14.57
['[1*]C=CCC[2*].[3*]C=CCC[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],13.1
['[1*]C=CCCCCCC[2*].[3*]C=CCCCCCC[4*]|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],22.67
['[1*]CC([2*])c1ccccc1.[3*]CC([4*])c1ccccc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],27.37
['[1*]CC([2*])c1ccc(C)cc1.[3*]CC([4*])c1ccc(C)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],18.59
['[1*]CC([2*])(C)c1ccc(C)cc1.[3*]CC([4*])(C)c1ccc(C)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],34.09
['[1*]CC([2*])c1ccc(O)cc1.[3*]CC([4*])c1ccc(O)cc1|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],11
['[1*]CC([2*])O.[3*]CC([4*])O|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],39.089205
['[1*]CC([2*])OC(=O)CCCCCCCCCCC.[3*]CC([4*])OC(=O)CCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],12.02
['[1*]CC([2*])OC(=O)CCCCCCCCCCCCCCC.[3*]CC([4*])OC(=O)CCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],33.35
['[1*]CC([2*])OC(=O)CCCCCCCCCCCCCCCCC.[3*]CC([4*])OC(=O)CCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],37.02
['[1*]CC([2*])(C)C#N.[3*]CC([4*])(C)C#N|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],8
['[1*]CC([2*])C(=O)OC(C)C.[3*]CC([4*])C(=O)OC(C)C|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],53.86
['[1*]CC([2*])C(=O)OCCCCCCCCCCCC.[3*]CC([4*])C(=O)OCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],17.77
['[1*]CC([2*])C(=O)OCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)OCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],27.01
['[1*]CC([2*])C(=O)OCCCCCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)OCCCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],39.64
['[1*]CC([2*])C(=O)OCCCCCCCCCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)OCCCCCCCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],43.74
['[1*]CC([2*])(C)C(=O)OC.[3*]CC([4*])(C)C(=O)OC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],12.63789474
['[1*]CC([2*])(C)C(=O)OCCCCCCCCCCCC.[3*]CC([4*])(C)C(=O)OCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],3.98
['[1*]CC([2*])(C)C(=O)OCCCCCCCCCCCCCCCC.[3*]CC([4*])(C)C(=O)OCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],17.37
['[1*]CC([2*])(C)C(=O)OCCCCCCCCCCCCCCCCCC.[3*]CC([4*])(C)C(=O)OCCCCCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],21.64
['[1*]CC([2*])C(=O)NCCCCCCCCCCCC.[3*]CC([4*])C(=O)NCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],1.76
['[1*]CC([2*])C(=O)NCCCCCCCCCCCCCC.[3*]CC([4*])C(=O)NCCCCCCCCCCCCCC|0.5|0.5|<1-3:0.5:0.5<1-4:0.5:0.5<2-3:0.5:0.5<2-4:0.5:0.5'],9.79
